time_s,fly,left_x_m,left_y_m,left_z_m,right_x_m,right_y_m,right_z_m,left_c_arbitrary_per_m3,right_c_arbitrary_per_m3,left_generic_rate_Hz,right_generic_rate_Hz,tarsal_food_contact
0.185,fly_2,0.0029084528422153766,0.0028997855511109453,0.0009595513583889319,0.0028758536668753343,0.0026867704066344303,0.0009498881313100144,33317521.126919094,35174650.22354359,25.3296117986277,26.01405231824465,0
0.186,fly_1,0.002572243902726979,-0.0022067233137302348,0.001100051072704401,0.0026077649450203517,-0.0024194662212845123,0.0011032521360472567,35539013.49519114,34133784.38797508,26.112019813888576,25.581971447896628,0
0.186,fly_2,0.002931206620730374,0.002899993581786976,0.0009882974064060052,0.0028983013852731435,0.0026870478169388205,0.0009781542964529928,33466300.445286274,35335117.62668741,25.37835195602415,26.06438754905491,0
0.187,fly_1,0.002604149592481123,-0.002210397104606668,0.0011031934952746008,0.0026403626853010627,-0.0024230318223325354,0.0011057673431403147,35895207.911106616,34478564.55043975,26.247079548431564,25.716939397849682,0
0.187,fly_2,0.002947709104564608,0.002901213944205258,0.0010145591406749094,0.002914419528886765,0.0026883370029516223,0.0010042272482797146,33546052.054229204,35420200.85490406,25.395406559320048,26.081307973954267,0
0.188,fly_1,0.0026333782930965857,-0.002218414590208607,0.0011048393746083396,0.002670226144520755,-0.0024309524506203007,0.0011060350768381402,36190033.74084692,34763834.9678252,26.35432423748222,25.82426292770095,0
0.188,fly_2,0.0029593709996643784,0.002902313164604649,0.001036831091680872,0.0029255889814844426,0.0026895078002828862,0.0010266238329718525,33589405.81217453,35463185.82734537,25.395858288831917,26.0796946387334,0
0.189,fly_1,0.0026593950841275037,-0.0022298972747006583,0.0011038969711377141,0.002696901420469567,-0.0024423194139185445,0.0011026142119733879,36427599.433330595,34996904.894318566,26.435996684618246,25.907634083852965,0
0.189,fly_2,0.0029696719502771292,0.002901821922625486,0.0010549611506246784,0.0029354087412745314,0.00268909399516929,0.0010447436481991219,33648949.6983875,35522219.91588224,25.403678679638894,26.08514293483671,0
0.19,fly_1,0.0026824309318723904,-0.002244472588940741,0.0011002350813008055,0.0027204220722053672,-0.0024567679278349095,0.0010958878630188684,36613269.28864108,35178707.58732405,26.494774972946313,25.967808462437873,0
0.19,fly_2,0.002981538423658919,0.0028999468647896895,0.0010673777831194115,0.0029470898475858175,0.0026872725285798714,0.0010566792649496124,33759439.61461339,35639586.92089457,25.434548884133797,26.116079375018842,0
0.191,fly_1,0.0027031794282707518,-0.002261366595158145,0.0010937497730913143,0.0027413068273842802,-0.0024735500720701508,0.0010862658216517003,36761601.95646884,35319250.02155382,26.537180779403414,26.00946901270986,0
0.191,fly_2,0.0029966075922965765,0.0028976738122576404,0.0010728035160228885,0.0029624760740511,0.002684993669608347,0.0010612392455437158,33933421.697851494,35832009.314836584,25.49391490430251,26.17953816456834,0
0.192,fly_1,0.002722479350665463,-0.0022789526336329923,0.0010847305868993168,0.0027603697694047542,-0.0024910578468960672,0.0010743753640061497,36895161.14416681,35439390.11913282,26.573030573166307,26.041954760993594,0
0.192,fly_2,0.0030146395892177375,0.002896103477377507,0.0010711819964671508,0.002981316945880491,0.002683337609677388,0.0010588603508946276,34158210.35906007,36085068.333614916,25.575737680624634,26.268855538652264,0
0.193,fly_1,0.0027411021087323535,-0.0022953442997751114,0.0010739345255390644,0.002778445831836266,-0.0025074108200132776,0.00106109812006111,37036733.091185994,35562477.730546504,26.61209521241424,26.075562955720894,0
0.193,fly_2,0.0030341007664944886,0.0028958794927483812,0.001062896927809504,0.0030019193163532444,0.0026829339134932582,0.0010506466009041814,34410300.04693769,36369612.84879566,25.669190283027238,26.371067590403577,0
0.194,fly_1,0.0027596823486302794,-0.0023088062330622818,0.0010622443731615084,0.0027962648122055083,-0.0025208732763682723,0.0010473840747458414,37206376.34362378,35709851.526691794,26.66285246765922,26.119582649379634,0
0.194,fly_2,0.003055001804670813,0.0028912448592941535,0.0010531573539921,0.0030238730887801645,0.0026780148739087898,0.001043384312176099,34731408.944678605,36714376.04919664,25.792629523169857,26.498258151128134,0
0.195,fly_1,0.0027785781301886948,-0.0023175891134390694,0.0010510144521475562,0.0028143729921839837,-0.0025296805753045343,0.0010346597700873952,37419767.90987179,35899961.01008123,26.731788107505263,26.181910870440714,0
0.195,fly_2,0.003076652960097452,0.0028855792760034706,0.0010447916042368413,0.00304730566318412,0.002671980360366009,0.0010380258545250915,35068103.99085607,37082087.03422311,25.9218974358848,26.634070887755996,0
0.196,fly_1,0.00279776959302218,-0.0023203863528264428,0.0010423185361458955,0.0028329800044543147,-0.002532496385233966,0.0010249663879895474,37681618.13590172,36141611.87501608,26.820630237819948,26.266118490049724,0
0.196,fly_2,0.0030969046088443575,0.0028812611448544357,0.0010403847753169774,0.0030700263563637415,0.002667284099803601,0.0010355973227917088,35361914.393667296,37417633.65464567,26.0311890781471,26.755004993205645,0
0.197,fly_1,0.0028170908020097455,-0.002316343337965967,0.0010378444159029416,0.0028521460139384895,-0.002528417232221659,0.0010197521120519314,37992478.78572231,36440351.481404915,26.92928868767256,26.37425819292255,0
0.197,fly_2,0.0031143875761466744,0.0028784508291071643,0.0010397138066717184,0.0030901148631079472,0.0026641382763563405,0.0010361781169305763,35596657.77489936,37695657.0501005,26.11376092682971,26.850656091586778,0
0.198,fly_1,0.002836353171937529,-0.0023049614735515776,0.0010378988371297622,0.002871893971883325,-0.0025168714161389635,0.0010188577305809225,38354720.24637492,36804242.94035231,27.058384070434265,26.509348653181398,0
0.198,fly_2,0.003128432095885714,0.002876483301187887,0.0010409910928595339,0.003106444820973551,0.002661918565650832,0.0010378177708413423,35778815.69189062,37917285.26598764,26.172824160981914,26.92190618320623,0
0.199,fly_1,0.002855318076145715,-0.0022878759505405547,0.001042412706180482,0.0028918970414349783,-0.002499516922248853,0.0010223723878318447,38750761.42504469,37213750.140200734,27.200232792023307,26.662542670856013,0
0.199,fly_2,0.0031386184851217584,0.0028741520092086187,0.0010421772177493444,0.003118217933247646,0.0026594392684662358,0.0010384634039539823,35925010.78943764,38094480.83650447,26.21588973055265,26.97409174519335,0
0.2,fly_1,0.0028733708915274795,-0.00226707564978347,0.0010510790107013971,0.0029114142325225253,-0.00247837098789874,0.0010301381352786992,39154993.092090964,37640827.06597077,27.344041577382548,26.821607244393622,0
0.2,fly_2,0.003145185383511116,0.0028703974064213282,0.0010416428992192743,0.003125417223622927,0.002655645926149166,0.0010368934211078525,36055992.919663176,38243612.88713339,26.252119483805828,27.014259263321776,0
